menu_name,category,price,calorie,initial_stock,date
カレーライス(中辛),カレー,300,561,50,
ポークカツカレー,カレー,380,771,50,
かつ丼,丼,350,735,50,
ライス中(210g),ご飯,120,328,50,
鶏肉の一味唐辛子焼き,定食,430,670,50,2026-07-01
白身魚の唐揚げぽん酢仕立て,定食,430,529,50,2026-07-02
鶏肉の南蛮漬け,定食,430,658,50,2026-07-03
豚プルコギ丼,丼,380,534,50,2026-07-01
中華丼,丼,380,570,50,2026-07-02
豚肉のレモン醤油丼,丼,380,638,50,2026-07-03
醤油ラーメン,麺,250,392,50,2026-07-01
醤油ラーメン,麺,250,392,50,2026-07-02
醤油ラーメン,麺,250,392,50,2026-07-03
冷やしうどん・そば,麺,250,345,50,2026-07-01
冷やしうどん・そば,麺,250,345,50,2026-07-02
冷やしうどん・そば,麺,250,345,50,2026-07-03
トマトスープde煮込みハンバーグ,定食,430,637,50,2026-07-06
ビックメンチカツ,定食,430,862,50,2026-07-07
鶏肉と野菜の卵炒め,定食,430,742,50,2026-07-08
豚ロースの竜田揚げ,定食,430,678,50,2026-07-09
ロゼクリームチキン,定食,430,646,50,2026-07-10
イカ天丼,丼,380,601,50,2026-07-06
ガパオライス,丼,380,575,50,2026-07-07
豚丼,丼,380,635,50,2026-07-08
鶏肉きんぴら丼,丼,380,604,50,2026-07-09
豚肉の細切り飯,丼,380,592,50,2026-07-10
とんこつラーメン,麺,250,413,50,2026-07-06
とんこつラーメン,麺,250,413,50,2026-07-07
とんこつラーメン,麺,250,413,50,2026-07-08
とんこつラーメン,麺,250,413,50,2026-07-09
とんこつラーメン,麺,250,413,50,2026-07-10
冷やしうどん・そば,麺,250,345,50,2026-07-06
冷やしうどん・そば,麺,250,345,50,2026-07-07
冷やしうどん・そば,麺,250,345,50,2026-07-08
冷やしうどん・そば,麺,250,345,50,2026-07-09
冷やしうどん・そば,麺,250,345,50,2026-07-10
とんかつ,定食,430,585,50,2026-07-13
夏野菜の麻婆炒め,定食,430,626,50,2026-07-14
チキンの味噌マヨネーズソース,定食,430,733,50,2026-07-15
豚挽肉と春雨のオイスターソース,定食,430,707,50,2026-07-16
バッファローチキン,定食,430,931,50,2026-07-17
チャーハンWITH肉そぼろ,丼,380,614,50,2026-07-13
チキン南蛮丼,丼,380,853,50,2026-07-14
スタミナ丼,丼,380,637,50,2026-07-15
3色丼,丼,380,771,50,2026-07-16
豚の生姜焼き丼,丼,380,582,50,2026-07-17
味噌ラーメン,麺,250,431,50,2026-07-13
味噌ラーメン,麺,250,431,50,2026-07-14
味噌ラーメン,麺,250,431,50,2026-07-15
味噌ラーメン,麺,250,431,50,2026-07-16
味噌ラーメン,麺,250,431,50,2026-07-17
冷やしうどん・そば,麺,250,345,50,2026-07-13
冷やしうどん・そば,麺,250,345,50,2026-07-14
冷やしうどん・そば,麺,250,345,50,2026-07-15
冷やしうどん・そば,麺,250,345,50,2026-07-16
冷やしうどん・そば,麺,250,345,50,2026-07-17
ミックスフライ,定食,430,730,50,2026-07-21
ポークソテーBBQソース,定食,430,763,50,2026-07-22
ローストチキン トマトとピーマンのバスク風ソース,定食,430,639,50,2026-07-23
豚ニラ玉,定食,430,580,50,2026-07-24
肉味噌温玉丼,丼,380,696,50,2026-07-21
牛肉と野菜のすき焼き丼,丼,380,621,50,2026-07-22
麻婆豆腐飯,丼,380,646,50,2026-07-23
オムライスデミグラスソース,丼,380,617,50,2026-07-24
醤油ラーメン,麺,250,392,50,2026-07-21
醤油ラーメン,麺,250,392,50,2026-07-22
醤油ラーメン,麺,250,392,50,2026-07-23
醤油ラーメン,麺,250,392,50,2026-07-24
冷やしうどん・そば,麺,250,345,50,2026-07-21
冷やしうどん・そば,麺,250,345,50,2026-07-22
冷やしうどん・そば,麺,250,345,50,2026-07-23
冷やしうどん・そば,麺,250,345,50,2026-07-24
メンチカツレツ 粒マスタードソース,定食,430,835,50,2026-07-27
シンガポールチキン,定食,430,601,50,2026-07-28
牛肉とニラのガーリック炒め,定食,430,632,50,2026-07-30
鶏肉の香り焼きと夏野菜のトマトチリソース,定食,430,625,50,2026-07-31
親子丼,丼,380,695,50,2026-07-27
豚プルコギ丼,丼,380,546,50,2026-07-28
タコライス,丼,380,567,50,2026-07-30
ウインナーのカレーピラフ,丼,380,577,50,2026-07-31
とんこつラーメン,麺,250,413,50,2026-07-27
とんこつラーメン,麺,250,413,50,2026-07-28
とんこつラーメン,麺,250,413,50,2026-07-30
とんこつラーメン,麺,250,413,50,2026-07-31
冷やしうどん・そば,麺,250,345,50,2026-07-27
冷やしうどん・そば,麺,250,345,50,2026-07-28
冷やしうどん・そば,麺,250,345,50,2026-07-30
冷やしうどん・そば,麺,250,345,50,2026-07-31
